山西频道,#genre#
北京卫视4K,http://zb.wekh.eu.org:6000/rtp/226.0.2.155:9172
深圳卫视4K,http://zb.wekh.eu.org:6000/rtp/226.0.1.244:2119
广东卫视4K,http://zb.wekh.eu.org:6000/rtp/226.0.1.245:2120
东方卫视4K,http://zb.wekh.eu.org:6000/rtp/226.0.1.248:2121
江苏卫视4K,http://zb.wekh.eu.org:6000/rtp/226.0.1.249:2122
浙江卫视4K,http://zb.wekh.eu.org:6000/rtp/226.0.1.247:2123
山东卫视4K,http://zb.wekh.eu.org:6000/rtp/226.0.1.251:2124
湖南卫视4K,http://zb.wekh.eu.org:6000/rtp/226.0.1.246:2125
四川卫视4K,http://zb.wekh.eu.org:6000/rtp/226.0.1.250:2126

影院频道,#genre#
CHC家庭影院,http://zb.wekh.eu.org:6000/rtp/226.0.2.240:9820
CHC高清电影,http://zb.wekh.eu.org:6000/rtp/226.0.2.93:8004
CHC动作电影,http://zb.wekh.eu.org:6000/rtp/226.0.2.94:8012

其他频道,#genre#
CETV1,http://zb.wekh.eu.org:6000/rtp/226.0.2.181:9360
金色学堂,http://zb.wekh.eu.org:6000/rtp/226.0.2.182:9368
动漫秀场,http://zb.wekh.eu.org:6000/rtp/226.0.2.183:9376
乐游,http://zb.wekh.eu.org:6000/rtp/226.0.2.77:8528
游戏风云,http://zb.wekh.eu.org:6000/rtp/226.0.2.78:8536
都市剧场,http://zb.wekh.eu.org:6000/rtp/226.0.2.81:8560
法治天地,http://zb.wekh.eu.org:6000/rtp/226.0.2.83:8576
生活时尚,http://zb.wekh.eu.org:6000/rtp/226.0.2.84:8584
武术世界,http://zb.wekh.eu.org:6000/rtp/226.0.2.97:8688
CETV早期教育,http://zb.wekh.eu.org:6000/rtp/226.0.2.99:8704
文物宝库,http://zb.wekh.eu.org:6000/rtp/226.0.2.110:8792
快乐垂钓,http://zb.wekh.eu.org:6000/rtp/226.0.2.214:9624
CETV1,http://zb.wekh.eu.org:6000/rtp/226.0.2.68:8456
CETV2,http://zb.wekh.eu.org:6000/rtp/226.0.2.69:8464
CETV4,http://zb.wekh.eu.org:6000/rtp/226.0.2.70:8472
证券服务,http://zb.wekh.eu.org:6000/rtp/226.0.2.71:8480
中视购物,http://zb.wekh.eu.org:6000/rtp/226.0.2.72:8488
新动漫,http://zb.wekh.eu.org:6000/rtp/226.0.2.73:8496
重庆汽摩,http://zb.wekh.eu.org:6000/rtp/226.0.2.95:8672
书画频道,http://zb.wekh.eu.org:6000/rtp/226.0.2.102:8728
中国天气,http://zb.wekh.eu.org:6000/rtp/226.0.2.103:8736
环球奇观,http://zb.wekh.eu.org:6000/rtp/226.0.2.111:8800
种养新影老故事,http://zb.wekh.eu.org:6000/rtp/226.0.2.112:8808
国学频道,http://zb.wekh.eu.org:6000/rtp/226.0.2.116:8840
优优宝贝,http://zb.wekh.eu.org:6000/rtp/226.0.2.119:8864
生态环境,http://zb.wekh.eu.org:6000/rtp/226.0.2.120:8872
先锋乒羽,http://zb.wekh.eu.org:6000/rtp/226.0.2.121:8880
聚鲨环球精选,http://zb.wekh.eu.org:6000/rtp/226.0.2.122:8888
四海钓鱼,http://zb.wekh.eu.org:6000/rtp/226.0.2.123:8896
天下收藏,http://zb.wekh.eu.org:6000/rtp/226.0.2.124:8904
好享购物,http://zb.wekh.eu.org:6000/rtp/226.0.2.125:8912
家有购物,http://zb.wekh.eu.org:6000/rtp/226.0.2.126:8920
环球旅游,http://zb.wekh.eu.org:6000/rtp/226.0.2.127:8928
中华特产,http://zb.wekh.eu.org:6000/rtp/226.0.2.128:8936
家庭理财,http://zb.wekh.eu.org:6000/rtp/226.0.2.129:8944
山东教育,http://zb.wekh.eu.org:6000/rtp/226.0.2.130:8952
优购物,http://zb.wekh.eu.org:6000/rtp/226.0.2.131:8960
百姓健康,http://zb.wekh.eu.org:6000/rtp/226.0.2.132:8968
车迷频道,http://zb.wekh.eu.org:6000/rtp/226.0.2.138:9016
财富天下,http://zb.wekh.eu.org:6000/rtp/226.0.2.139:9024
党建频道,http://zb.wekh.eu.org:6000/rtp/226.0.2.184:9384

地市频道,#genre#
大同教育,http://zb.wekh.eu.org:6000/rtp/226.0.2.232:9772
清徐,http://zb.wekh.eu.org:6000/rtp/226.0.2.191:9440
朔州-1,http://zb.wekh.eu.org:6000/rtp/226.0.2.185:9392
朔州-2,http://zb.wekh.eu.org:6000/rtp/226.0.2.186:9400
孝义电视台,http://zb.wekh.eu.org:6000/rtp/226.0.2.189:9424
古交电视台,http://zb.wekh.eu.org:6000/rtp/226.0.2.192:9448
阳曲,http://zb.wekh.eu.org:6000/rtp/226.0.2.196:9480
太原1,http://zb.wekh.eu.org:6000/rtp/226.0.2.201:9520
太原2,http://zb.wekh.eu.org:6000/rtp/226.0.2.202:9528
太原3,http://zb.wekh.eu.org:6000/rtp/226.0.2.203:9536
太原4,http://zb.wekh.eu.org:6000/rtp/226.0.2.204:9544
太原5,http://zb.wekh.eu.org:6000/rtp/226.0.2.205:9552
太原教育,http://zb.wekh.eu.org:6000/rtp/226.0.2.206:9560
太原佰乐购,http://zb.wekh.eu.org:6000/rtp/226.0.2.215:9632
晋能控股,http://zb.wekh.eu.org:6000/rtp/226.0.2.229:9744
央广购物,http://zb.wekh.eu.org:6000/rtp/226.0.2.230:9752
阳泉-1新闻综合,http://zb.wekh.eu.org:6000/rtp/226.0.2.233:9776
阳泉-2科教,http://zb.wekh.eu.org:6000/rtp/226.0.2.234:9784
九屏测试,http://zb.wekh.eu.org:6000/rtp/226.0.2.197:9488

电影轮播,#genre#
穿越火线,https://025365.xyz:8082/huya.php?id=660101
电影_星爷,https://025365.xyz:8082/huya.php?id=11342412
电影_英叔,https://025365.xyz:8082/huya.php?id=11342421
电影_发哥,https://025365.xyz:8082/huya.php?id=11342387
电影_成龙,https://025365.xyz:8082/huya.php?id=11342386
电影_王晶,https://025365.xyz:8082/huya.php?id=11602058
电影_沈腾,https://025365.xyz:8082/huya.php?id=11601968
电影_黄渤,https://025365.xyz:8082/huya.php?id=11352876
电影_强森,https://025365.xyz:8082/huya.php?id=21059581
电影_漫威,https://025365.xyz:8082/huya.php?id=11602034
电影_宇宙,https://025365.xyz:8082/huya.php?id=11342428
电影_怪兽,https://025365.xyz:8082/huya.php?id=21059577
电影_武侠,https://025365.xyz:8082/huya.php?id=11342427
电影_警匪,https://025365.xyz:8082/huya.php?id=11352886
电影_罪犯,https://025365.xyz:8082/huya.php?id=11352962
电影_枪战,https://025365.xyz:8082/huya.php?id=21059579
电影_海盗,https://025365.xyz:8082/huya.php?id=21059595
电影_赛车,https://025365.xyz:8082/huya.php?id=11279247
电影_推荐,https://025365.xyz:8082/huya.php?id=11602041
电影_救援,https://025365.xyz:8082/huya.php?id=21059594
电影_热血,https://025365.xyz:8082/huya.php?id=11352934
电影_盗墓,https://025365.xyz:8082/huya.php?id=21059552
电影_贺岁,https://025365.xyz:8082/huya.php?id=11601971
电影_玄幻,https://025365.xyz:8082/huya.php?id=11342414
电影_谍战,https://025365.xyz:8082/huya.php?id=21059585
电影_战争,https://025365.xyz:8082/huya.php?id=21059592
电影_喜剧,https://025365.xyz:8082/huya.php?id=11352877
电影_港片,https://025365.xyz:8082/huya.php?id=11602043
电影_国产,https://025365.xyz:8082/huya.php?id=11352973
电影_周星星,https://025365.xyz:8082/huya.php?id=11336587
电影_李连杰,https://025365.xyz:8082/huya.php?id=11342390
电影_洪金宝,https://025365.xyz:8082/huya.php?id=11279251
电影_梁家辉,https://025365.xyz:8082/huya.php?id=11342429
电影_许冠英,https://025365.xyz:8082/huya.php?id=11601972
电影_刘德华,https://025365.xyz:8082/huya.php?id=11342424
电影_斯坦森,https://025365.xyz:8082/huya.php?id=21059588
电影_小鬼头,https://025365.xyz:8082/huya.php?id=11352963
电影_八点档,https://025365.xyz:8082/huya.php?id=880261
电影_蜘蛛侠,https://025365.xyz:8082/huya.php?id=21059599
电影_贺岁片,https://025365.xyz:8082/huya.php?id=11601986
电影_功夫片,https://025365.xyz:8082/huya.php?id=11352941
电影_黑帮片,https://025365.xyz:8082/huya.php?id=11336719
电影_丧尸片,https://025365.xyz:8082/huya.php?id=21059578
电影_灾难片,https://025365.xyz:8082/huya.php?id=11602075
电影_谍战片,https://025365.xyz:8082/huya.php?id=21059587
电影_战争片,https://025365.xyz:8082/huya.php?id=21059574
电影_犯罪片,https://025365.xyz:8082/huya.php?id=11352974
电影_古装片,https://025365.xyz:8082/huya.php?id=11336590
